wavelength,reflectance
350,0.782511479
351,0.782952582
352,0.783430187
353,0.783944293
354,0.784494902
355,0.785082013
356,0.785705627
357,0.786365742
358,0.787062359
359,0.787795478
360,0.788565099
361,0.789371222
362,0.790213848
363,0.791092975
364,0.792008604
365,0.792960736
366,0.793949369
367,0.794974505
368,0.796036142
369,0.797134282
370,0.798268923
371,0.799440067
372,0.800647713
373,0.80189186
374,0.80317251
375,0.805432025
376,0.807331264
377,0.809383255
378,0.811003776
379,0.812837441
380,0.81472883
381,0.816344517
382,0.818014075
383,0.819712797
384,0.821333118
385,0.822752848
386,0.824217408
387,0.825825358
388,0.827383796
389,0.829012306
390,0.830569027
391,0.832199854
392,0.833735711
393,0.835178856
394,0.836520306
395,0.837842813
396,0.839090013
397,0.840361785
398,0.841553412
399,0.842692088
400,0.843810362
401,0.844975427
402,0.8462069
403,0.847282497
404,0.848322045
405,0.849411911
406,0.850428085
407,0.851455612
408,0.852511795
409,0.853547474
410,0.854553278
411,0.85555895
412,0.856503516
413,0.857460003
414,0.858402792
415,0.859331445
416,0.86024008
417,0.861119717
418,0.86199777
419,0.862891564
420,0.863822146
421,0.864695352
422,0.865555178
423,0.866391209
424,0.86720132
425,0.868058016
426,0.868896064
427,0.869710283
428,0.870543523
429,0.871334588
430,0.872145593
431,0.872922078
432,0.873721773
433,0.874507593
434,0.87527469
435,0.876061036
436,0.876872497
437,0.877648927
438,0.878390623
439,0.879124898
440,0.879879961
441,0.880614243
442,0.881312751
443,0.882015554
444,0.882694357
445,0.883372189
446,0.884051562
447,0.884730669
448,0.885400964
449,0.886063496
450,0.886714188
451,0.887357643
452,0.887970301
453,0.888589645
454,0.889192921
455,0.889775615
456,0.890364108
457,0.890924992
458,0.891479179
459,0.892033454
460,0.892575226
461,0.893107874
462,0.893641684
463,0.894166504
464,0.8947026
465,0.89521995
466,0.895738761
467,0.896268511
468,0.896795402
469,0.897315458
470,0.897820034
471,0.898327112
472,0.898848301
473,0.899375384
474,0.899897492
475,0.90042892
476,0.900932649
477,0.90143242
478,0.901943292
479,0.90245349
480,0.902953713
481,0.903471684
482,0.903986792
483,0.904494941
484,0.904995322
485,0.905507154
486,0.906004542
487,0.906508504
488,0.907018995
489,0.907525359
490,0.908030756
491,0.908550046
492,0.909066459
493,0.909573658
494,0.910079816
495,0.910589105
496,0.911093626
497,0.911597392
498,0.912103158
499,0.912603649
500,0.913098157
501,0.913581458
502,0.914056731
503,0.914526567
504,0.914995214
505,0.915465923
506,0.915938578
507,0.916402064
508,0.916866061
509,0.917327306
510,0.917794569
511,0.91826355
512,0.918729115
513,0.919186471
514,0.919632798
515,0.920082737
516,0.920528956
517,0.920960496
518,0.92139821
519,0.921837697
520,0.922276073
521,0.92269875
522,0.923125991
523,0.923563625
524,0.923993276
525,0.924416067
526,0.924852915
527,0.925287671
528,0.925726799
529,0.926162812
530,0.926588776
531,0.927016535
532,0.927450629
533,0.927887893
534,0.928318991
535,0.928752837
536,0.929193043
537,0.929622824
538,0.930044405
539,0.930472595
540,0.930910286
541,0.931343066
542,0.931761804
543,0.932189422
544,0.932620182
545,0.933047303
546,0.933481577
547,0.933911396
548,0.934328483
549,0.934744655
550,0.935159971
551,0.935574787
552,0.935987296
553,0.936397417
554,0.936807162
555,0.93721173
556,0.937613854
557,0.938018601
558,0.938423534
559,0.938825934
