wavelength,reflectance
350,0.970765193
351,0.974266482
352,0.973451203
353,0.967642099
354,0.970548236
355,0.974719178
356,0.97156674
357,0.9749387
358,0.972416726
359,0.968817343
360,0.97042461
361,0.971141155
362,0.972776899
363,0.971052465
364,0.971167912
365,0.968390418
366,0.973016176
367,0.971551488
368,0.971216835
369,0.968801629
370,0.971350971
371,0.97051525
372,0.973204437
373,0.970950581
374,0.970125621
375,0.96903722
376,0.969756472
377,0.972196899
378,0.968775957
379,0.969423675
380,0.971553326
381,0.969840059
382,0.970507733
383,0.97208844
384,0.972150327
385,0.972006217
386,0.973038469
387,0.972009134
388,0.972330225
389,0.972466357
390,0.973152943
391,0.973885205
392,0.973388258
393,0.97310662
394,0.973289258
395,0.97496723
396,0.973843317
397,0.973826664
398,0.974325692
399,0.973553339
400,0.974085327
401,0.974753733
402,0.9747389
403,0.975176245
404,0.974298606
405,0.9752919
406,0.975017178
407,0.975614442
408,0.975702592
409,0.975155958
410,0.975724453
411,0.976324914
412,0.976221203
413,0.976255517
414,0.97581578
415,0.976713348
416,0.976712519
417,0.975990536
418,0.976611187
419,0.975987038
420,0.976783958
421,0.977034037
422,0.977274878
423,0.977463276
424,0.977398448
425,0.977174935
426,0.977168615
427,0.97715081
428,0.977800466
429,0.977681398
430,0.97787332
431,0.978497082
432,0.977718206
433,0.978039221
434,0.978280326
435,0.978206636
436,0.978315808
437,0.978400342
438,0.978167962
439,0.978640615
440,0.978403562
441,0.978868388
442,0.979094033
443,0.979145326
444,0.979117651
445,0.978787193
446,0.978979757
447,0.979304138
448,0.979672938
449,0.979798572
450,0.980028899
451,0.979538801
452,0.979360552
453,0.979736312
454,0.979817763
455,0.979258316
456,0.979785306
457,0.980054726
458,0.980134015
459,0.979784477
460,0.980322039
461,0.980123351
462,0.980443422
463,0.980287647
464,0.980360434
465,0.980629406
466,0.981000402
467,0.980882563
468,0.980966167
469,0.980757626
470,0.980807151
471,0.981019571
472,0.981100432
473,0.981155144
474,0.981221134
475,0.981302687
476,0.981037452
477,0.981143865
478,0.981155387
479,0.981297972
480,0.981689077
481,0.981803838
482,0.981791285
483,0.981990026
484,0.982041651
485,0.982208749
486,0.982264616
487,0.982316798
488,0.982285231
489,0.982091415
490,0.982350222
491,0.982507053
492,0.982296927
493,0.982500354
494,0.982625638
495,0.982691435
496,0.982574173
497,0.982625447
498,0.982834301
499,0.982972955
500,0.982677332
501,0.983207633
502,0.983161657
503,0.983287769
504,0.983452858
505,0.983309545
506,0.983184228
507,0.983386316
508,0.983706633
509,0.983624793
510,0.983648458
511,0.983825253
512,0.983867521
513,0.983854989
514,0.98405117
515,0.98420376
516,0.984224329
517,0.984164942
518,0.984433179
519,0.984307256
520,0.984275515
521,0.984526458
522,0.984474574
523,0.984282107
524,0.984363424
525,0.984501892
526,0.984520602
527,0.984657724
528,0.984727523
529,0.98481868
530,0.984892229
531,0.984742084
532,0.984993199
533,0.985174613
534,0.985216195
535,0.985063651
536,0.985118617
537,0.985043067
538,0.985082288
539,0.985226774
540,0.985165346
541,0.985304226
542,0.985578801
543,0.985671555
544,0.985730804
545,0.985682528
546,0.986027256
547,0.985973079
548,0.985723254
549,0.985957816
550,0.985900062
551,0.985964906
552,0.986188488
553,0.986025779
554,0.986087518
555,0.98623576
556,0.986090652
557,0.9860384
558,0.986168808
559,0.986203551
560,0.986142562
561,0.986082651
562,0.986418683
563,0.986589759
564,0.986536007
565,0.986330818
566,0.986366804
567,0.986797514
568,0.986827594
569,0.98657407
570,0.986727767
571,0.986773941
572,0.986805746
573,0.986836055
574,0.986773608
575,0.986926412
576,0.986993402
577,0.987114782
578,0.987129168
579,0.987067655
580,0.987344961
581,0.987293862
582,0.98721928
583,0.987242053
584,0.98736983
585,0.987608373
586,0.98754584
587,0.987259041
588,0.987173301
589,0.987297401
590,0.987134484
591,0.987169778
592,0.98742894
593,0.987396952
594,0.987643363
595,0.987802043
596,0.988042371
597,0.987561799
598,0.987382907
599,0.987681209
600,0.987683564
601,0.987914819
602,0.987981123
603,0.987814284
604,0.988013949
605,0.987841979
606,0.987852652
607,0.987845876
608,0.987935192
609,0.987854054
